instance_id,condition,size,depth,loss,p_feasible,fidelity,conditional_fidelity,entropy,min_conditional_probability,coverage,compile_seconds,optimize_seconds
a_4_mixed_03,feasibility,4,7,-0.9999999999984086,0.9999999999992043,0.17074370518186158,0.17074370518199744,0.46704107359759267,0.00031816475676948585,1.0,3.0278224097564816,2.1697455011308193
a_4_mixed_03,feasibility,4,8,-0.9999999999988676,0.9999999999994338,0.14907230158889134,0.14907230158897575,0.19249831363306236,4.422452028496067e-05,0.9166666666666666,3.5141656901687384,2.5055083008483052
a_4_mixed_03,fidelity,4,1,0.028595479235740035,0.9999999999727877,0.97140452076426,0.9714045207906942,0.9763003098255078,0.06249976097863559,1.0,0.00024411175400018692,0.3905714796856046
a_4_mixed_03,fidelity,4,2,0.00026023807549159966,0.9999493044002832,0.9997397619245084,0.9997904469008052,0.9999645992057546,0.08124546125375677,1.0,0.00043670693412423134,0.6781452326104045
a_4_mixed_03,lambda_0.5,4,1,0.01429773963672043,0.9999999999797216,0.9714045207474175,0.971404520767116,0.9763003098380113,0.06249960021721381,1.0,0.00035451818257570267,0.3942334954626858
a_4_mixed_03,lambda_0.5,4,2,0.0004888582957855991,0.9999232431058458,0.9990991035658302,0.9991757971967371,0.9998171886662053,0.07801476377226017,1.0,0.00047082407400012016,0.6949418443255126
a_4_mixed_03,lambda_1,4,1,0.028595479234590715,0.9999999999722811,0.971404520766202,0.9714045207931283,0.9763003098253372,0.06249973944511659,1.0,0.0002476060763001442,0.3828375837765634
a_4_mixed_03,lambda_1,4,2,0.0008545442298285577,0.9998223188215494,0.9991455760359961,0.9993231369486221,0.9995441245461952,0.0780042807983975,1.0,0.00039045605808496475,0.6779458639211953
a_4_mixed_03,lambda_2,4,1,0.05719095843164279,0.9999999999675864,0.9714045207688987,0.9714045208003854,0.9763003097946998,0.062499844058364465,1.0,0.00041585881263017654,0.38402281049638987
a_4_mixed_03,lambda_2,4,2,0.0015257358362481543,0.9998759979517204,0.9991752179666665,0.9992991331060157,0.9995435559266873,0.07936792256842272,1.0,0.00047932518646121025,0.688548571895808
a_4_positive_01,feasibility,4,1,-0.9999999937419028,0.9999999968709513,0.4999546399575998,0.4999546415219822,0.49999812141678235,2.5172956434984976e-11,0.5,0.4920204048976302,0.3832322657108307
a_4_positive_01,feasibility,4,2,-0.9999999997824587,0.9999999998912293,0.06644471799892403,0.06644471800615126,0.779228134036256,1.3893486343967778e-11,0.75,0.8509427439421415,0.6833117082715034
a_4_positive_01,feasibility,4,3,-0.9999999994322606,0.9999999997161303,0.06033009712838183,0.060330097145507716,0.7571196724823513,3.26888818948633e-12,0.75,1.210383864119649,1.0073284655809402
