method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,AR_feas_mean,AR_feas_std,AR_feas_median,AR_feas_q25,AR_feas_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
PC-QAOA,quadratic_knapsack+flow,7,5,0.6600166107278426,,0.6600166107278426,0.6600166107278426,0.6600166107278426,0.9141777777777778,,0.9141777777777778,0.9141777777777778,0.9141777777777778,1.0,,1.0,1.0,1.0,0.3153,,0.3153,0.3153,0.3153
PC-QAOA,quadratic_knapsack+flow,8,5,0.6191814754298126,,0.6191814754298126,0.6191814754298126,0.6191814754298126,0.728310810810811,,0.728310810810811,0.728310810810811,0.728310810810811,1.0,,1.0,1.0,1.0,0.2984,,0.2984,0.2984,0.2984
PC-QAOA,quadratic_knapsack+knapsack,6,5,0.8978458835263835,0.09134151844543069,0.8799968977468546,0.848371601824532,0.9383956723384705,0.9969942028985508,0.0028609400458257175,0.9966782608695652,0.9954913043478262,0.9983391304347826,1.0,0.0,1.0,1.0,1.0,0.9941666666666666,0.006474823034904774,0.9953,0.99125,0.9976499999999999
PC-QAOA,quadratic_knapsack+knapsack,7,5,0.8035901417619925,,0.8035901417619925,0.8035901417619925,0.8035901417619925,0.9700896551724132,,0.9700896551724132,0.9700896551724132,0.9700896551724132,1.0,,1.0,1.0,1.0,0.851,,0.851,0.851,0.851
PC-QAOA,quadratic_knapsack+quadratic_knapsack,6,5,0.7155869658623939,0.09472179798514431,0.7155869658623939,0.682097753021655,0.7490761787031327,0.9979805194805196,0.0026337431797960296,0.9979805194805196,0.9970493506493507,0.9989116883116883,1.0,0.0,1.0,1.0,1.0,0.96125,0.05423509011700819,0.96125,0.942075,0.9804250000000001
PenaltyQAOA,assignment+cardinality,4,5,0.9994675314482963,,0.9994675314482963,0.9994675314482963,0.9994675314482963,0.9976888888888891,,0.9976888888888891,0.9976888888888891,0.9976888888888891,0.9986,,0.9986,0.9986,0.9986,0.9974,,0.9974,0.9974,0.9974
PenaltyQAOA,assignment+cardinality,5,5,0.9923639088061398,,0.9923639088061398,0.9923639088061398,0.9923639088061398,0.8877200000000002,,0.8877200000000002,0.8877200000000002,0.8877200000000002,0.9916,,0.9916,0.9916,0.9916,0.7082,,0.7082,0.7082,0.7082
PenaltyQAOA,assignment+cardinality,6,5,0.9982325548518591,,0.9982325548518591,0.9982325548518591,0.9982325548518591,0.9775777777777779,,0.9775777777777779,0.9775777777777779,0.9775777777777779,0.9952,,0.9952,0.9952,0.9952,0.9159,,0.9159,0.9159,0.9159
PenaltyQAOA,assignment+cardinality,7,5,0.9943933990092014,0.008145223346557809,0.9988860804573282,0.9919386326955933,0.999094506046873,0.7461041666666669,0.2390669964718743,0.7428125000000001,0.6257562500000003,0.86480625,0.9866,0.011914696806885136,0.9892,0.9814,0.9931,0.6032333333333334,0.34612151527076923,0.5087,0.41145,0.74775
PenaltyQAOA,assignment+cardinality,8,5,0.9884999168152344,,0.9884999168152344,0.9884999168152344,0.9884999168152344,0.5349999999999999,,0.5349999999999999,0.5349999999999999,0.5349999999999999,0.8808,,0.8808,0.8808,0.8808,0.0034,,0.0034,0.0034,0.0034
PenaltyQAOA,assignment+flow,7,5,0.9811142053550738,,0.9811142053550738,0.9811142053550738,0.9811142053550738,0.5511050000000001,,0.5511050000000001,0.5511050000000001,0.5511050000000001,0.9466,,0.9466,0.9466,0.9466,0.2149,,0.2149,0.2149,0.2149
