vcg_key,constraint_type,constraints,n_x,n_layers,sp_total,sp_1q,sp_2q,sp_gates
4*x_0*x_0 + 1*x_0*x_1 + 4*x_0*x_2 + 3*x_0*x_3 + 4*x_1*x_1 + 5*x_1*x_2 + 4*x_1*x_3 + 3*x_2*x_2 + 5*x_2*x_3 + 5*x_3*x_3 <= 24,quadratic_knapsack,['4*x_0*x_0 + 1*x_0*x_1 + 4*x_0*x_2 + 3*x_0*x_3 + 4*x_1*x_1 + 5*x_1*x_2 + 4*x_1*x_3 + 3*x_2*x_2 + 5*x_2*x_3 + 5*x_3*x_3 <= 24'],4,8,172,92,80,"{'Hadamard': 4, 'CNOT': 80, 'RZ': 56, 'RX': 32}"
4*x_0*x_0 + 4*x_0*x_1 + 1*x_0*x_2 + 5*x_0*x_3 + 5*x_1*x_1 + 5*x_1*x_2 + 5*x_1*x_3 + 1*x_2*x_2 + 4*x_2*x_3 + 1*x_3*x_3 <= 11,quadratic_knapsack,['4*x_0*x_0 + 4*x_0*x_1 + 1*x_0*x_2 + 5*x_0*x_3 + 5*x_1*x_1 + 5*x_1*x_2 + 5*x_1*x_3 + 1*x_2*x_2 + 4*x_2*x_3 + 1*x_3*x_3 <= 11'],4,7,221,95,126,"{'Hadamard': 4, 'CNOT': 126, 'RZ': 63, 'RX': 28}"
2*x_0*x_0 + 5*x_0*x_1 + 2*x_0*x_2 + 1*x_0*x_3 + 4*x_0*x_4 + 4*x_1*x_1 + 2*x_1*x_2 + 5*x_1*x_3 + 1*x_1*x_4 + 1*x_2*x_2 + 4*x_2*x_3 + 2*x_2*x_4 + 5*x_3*x_3 + 4*x_3*x_4 + 1*x_4*x_4 <= 23,quadratic_knapsack,['2*x_0*x_0 + 5*x_0*x_1 + 2*x_0*x_2 + 1*x_0*x_3 + 4*x_0*x_4 + 4*x_1*x_1 + 2*x_1*x_2 + 5*x_1*x_3 + 1*x_1*x_4 + 1*x_2*x_2 + 4*x_2*x_3 + 2*x_2*x_4 + 5*x_3*x_3 + 4*x_3*x_4 + 1*x_4*x_4 <= 23'],5,0,32,1,26,"{'RY': 1, 'CRY': 6, 'SWAP': 2, 'CNOT': 18, 'CC_RY': 5, 'CSWAP': 0}"
5*x_0*x_0 + 3*x_0*x_1 + 1*x_0*x_2 + 5*x_0*x_3 + 3*x_1*x_1 + 1*x_1*x_2 + 4*x_1*x_3 + 5*x_2*x_2 + 5*x_2*x_3 + 1*x_3*x_3 <= 20,quadratic_knapsack,['5*x_0*x_0 + 3*x_0*x_1 + 1*x_0*x_2 + 5*x_0*x_3 + 3*x_1*x_1 + 1*x_1*x_2 + 4*x_1*x_3 + 5*x_2*x_2 + 5*x_2*x_3 + 1*x_3*x_3 <= 20'],4,7,375,137,238,"{'Hadamard': 4, 'CNOT': 238, 'RZ': 105, 'RX': 28}"
1*x_0 + 6*x_1 + 9*x_2 + 8*x_3 + 9*x_4 <= 18,knapsack,['1*x_0 + 6*x_1 + 9*x_2 + 8*x_3 + 9*x_4 <= 18'],5,1,139,41,98,"{'Hadamard': 5, 'CNOT': 98, 'RZ': 31, 'RX': 5}"
1*x_0*x_0 + 4*x_0*x_1 + 1*x_0*x_2 + 2*x_0*x_3 + 5*x_1*x_1 + 4*x_1*x_2 + 3*x_1*x_3 + 5*x_2*x_2 + 4*x_2*x_3 + 2*x_3*x_3 <= 18,quadratic_knapsack,['1*x_0*x_0 + 4*x_0*x_1 + 1*x_0*x_2 + 2*x_0*x_3 + 5*x_1*x_1 + 4*x_1*x_2 + 3*x_1*x_3 + 5*x_2*x_2 + 4*x_2*x_3 + 2*x_3*x_3 <= 18'],4,7,375,137,238,"{'Hadamard': 4, 'CNOT': 238, 'RZ': 105, 'RX': 28}"
4*x_0*x_0 + 1*x_0*x_1 + 2*x_0*x_2 + 4*x_0*x_3 + 1*x_0*x_4 + 2*x_1*x_1 + 3*x_1*x_2 + 1*x_1*x_3 + 1*x_1*x_4 + 3*x_2*x_2 + 3*x_2*x_3 + 4*x_2*x_4 + 1*x_3*x_3 + 3*x_3*x_4 + 2*x_4*x_4 <= 11,quadratic_knapsack,['4*x_0*x_0 + 1*x_0*x_1 + 2*x_0*x_2 + 4*x_0*x_3 + 1*x_0*x_4 + 2*x_1*x_1 + 3*x_1*x_2 + 1*x_1*x_3 + 1*x_1*x_4 + 3*x_2*x_2 + 3*x_2*x_3 + 4*x_2*x_4 + 1*x_3*x_3 + 3*x_3*x_4 + 2*x_4*x_4 <= 11'],5,2,179,55,124,"{'Hadamard': 5, 'CNOT': 124, 'RZ': 40, 'RX': 10}"
5*x_0*x_0 + 3*x_0*x_1 + 4*x_0*x_2 + 5*x_0*x_3 + 1*x_0*x_4 + 1*x_1*x_1 + 4*x_1*x_2 + 2*x_1*x_3 + 3*x_1*x_4 + 4*x_2*x_2 + 5*x_2*x_3 + 1*x_2*x_4 + 1*x_3*x_3 + 5*x_3*x_4 + 2*x_4*x_4 <= 17,quadratic_knapsack,['5*x_0*x_0 + 3*x_0*x_1 + 4*x_0*x_2 + 5*x_0*x_3 + 1*x_0*x_4 + 1*x_1*x_1 + 4*x_1*x_2 + 2*x_1*x_3 + 3*x_1*x_4 + 4*x_2*x_2 + 5*x_2*x_3 + 1*x_2*x_4 + 1*x_3*x_3 + 5*x_3*x_4 + 2*x_4*x_4 <= 17'],5,2,145,53,92,"{'Hadamard': 5, 'CNOT': 92, 'RZ': 38, 'RX': 10}"
3*x_0*x_0 + 1*x_0*x_1 + 5*x_0*x_2 + 2*x_0*x_3 + 5*x_0*x_4 + 2*x_1*x_1 + 5*x_1*x_2 + 5*x_1*x_3 + 5*x_1*x_4 + 2*x_2*x_2 + 3*x_2*x_3 + 3*x_2*x_4 + 4*x_3*x_3 + 1*x_3*x_4 + 5*x_4*x_4 <= 18,quadratic_knapsack,['3*x_0*x_0 + 1*x_0*x_1 + 5*x_0*x_2 + 2*x_0*x_3 + 5*x_0*x_4 + 2*x_1*x_1 + 5*x_1*x_2 + 5*x_1*x_3 + 5*x_1*x_4 + 2*x_2*x_2 + 3*x_2*x_3 + 3*x_2*x_4 + 4*x_3*x_3 + 1*x_3*x_4 + 5*x_4*x_4 <= 18'],5,3,407,113,294,"{'Hadamard': 5, 'CNOT': 294, 'RZ': 93, 'RX': 15}"
2*x_0*x_0 + 4*x_0*x_1 + 4*x_0*x_2 + 4*x_0*x_3 + 5*x_0*x_4 + 1*x_1*x_1 + 2*x_1*x_2 + 2*x_1*x_3 + 5*x_1*x_4 + 1*x_2*x_2 + 3*x_2*x_3 + 1*x_2*x_4 + 5*x_3*x_3 + 4*x_3*x_4 + 1*x_4*x_4 <= 28,quadratic_knapsack,['2*x_0*x_0 + 4*x_0*x_1 + 4*x_0*x_2 + 4*x_0*x_3 + 5*x_0*x_4 + 1*x_1*x_1 + 2*x_1*x_2 + 2*x_1*x_3 + 5*x_1*x_4 + 1*x_2*x_2 + 3*x_2*x_3 + 1*x_2*x_4 + 5*x_3*x_3 + 4*x_3*x_4 + 1*x_4*x_4 <= 28'],5,6,809,221,588,"{'Hadamard': 5, 'CNOT': 588, 'RZ': 186, 'RX': 30}"
2*x_0*x_0 + 5*x_0*x_1 + 4*x_0*x_2 + 4*x_0*x_3 + 3*x_0*x_4 + 4*x_1*x_1 + 4*x_1*x_2 + 1*x_1*x_3 + 2*x_1*x_4 + 3*x_2*x_2 + 1*x_2*x_3 + 4*x_2*x_4 + 3*x_3*x_3 + 4*x_3*x_4 + 3*x_4*x_4 <= 16,quadratic_knapsack,['2*x_0*x_0 + 5*x_0*x_1 + 4*x_0*x_2 + 4*x_0*x_3 + 3*x_0*x_4 + 4*x_1*x_1 + 4*x_1*x_2 + 1*x_1*x_3 + 2*x_1*x_4 + 3*x_2*x_2 + 1*x_2*x_3 + 4*x_2*x_4 + 3*x_3*x_3 + 4*x_3*x_4 + 3*x_4*x_4 <= 16'],5,8,1077,293,784,"{'Hadamard': 5, 'CNOT': 784, 'RZ': 248, 'RX': 40}"
