method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
PenaltyQAOA,assignment+cardinality,7,1,0.9610272145295774,,0.9610272145295774,0.9610272145295774,0.9610272145295774,0.5825,,0.5825,0.5825,0.5825,0.0007,,0.0007,0.0007,0.0007
PenaltyQAOA,assignment+cardinality,7,2,0.9899445282172455,,0.9899445282172455,0.9899445282172455,0.9899445282172455,0.8832,,0.8832,0.8832,0.8832,0.0456,,0.0456,0.0456,0.0456
PenaltyQAOA,cardinality+assignment,5,1,0.933858474417615,,0.933858474417615,0.933858474417615,0.933858474417615,0.853,,0.853,0.853,0.853,0.2138,,0.2138,0.2138,0.2138
PenaltyQAOA,cardinality+assignment,6,1,0.9627025275147683,,0.9627025275147683,0.9627025275147683,0.9627025275147683,0.7333,,0.7333,0.7333,0.7333,0.1412,,0.1412,0.1412,0.1412
PenaltyQAOA,cardinality+assignment,6,2,0.9934814866562915,,0.9934814866562915,0.9934814866562915,0.9934814866562915,0.9405,,0.9405,0.9405,0.9405,0.8748,,0.8748,0.8748,0.8748
PenaltyQAOA,cardinality+assignment+knapsack,9,1,0.9312344538539837,,0.9312344538539837,0.9312344538539837,0.9312344538539837,0.0932,,0.0932,0.0932,0.0932,0.013,,0.013,0.013,0.013
PenaltyQAOA,cardinality+assignment+knapsack,9,2,0.9651550394919568,,0.9651550394919568,0.9651550394919568,0.9651550394919568,0.4038,,0.4038,0.4038,0.4038,0.0018,,0.0018,0.0018,0.0018
PenaltyQAOA,cardinality+assignment+knapsack,9,3,0.9844543897964416,,0.9844543897964416,0.9844543897964416,0.9844543897964416,0.7698,,0.7698,0.7698,0.7698,0.0077,,0.0077,0.0077,0.0077
PenaltyQAOA,cardinality+cardinality,5,1,0.9234985788602393,,0.9234985788602393,0.9234985788602393,0.9234985788602393,0.5317,,0.5317,0.5317,0.5317,0.2614,,0.2614,0.2614,0.2614
PenaltyQAOA,cardinality+cardinality,5,2,0.9886149566861472,,0.9886149566861472,0.9886149566861472,0.9886149566861472,0.9426,,0.9426,0.9426,0.9426,0.9293,,0.9293,0.9293,0.9293
PenaltyQAOA,cardinality+cardinality,6,1,0.9210152354038968,,0.9210152354038968,0.9210152354038968,0.9210152354038968,0.4944,,0.4944,0.4944,0.4944,0.2474,,0.2474,0.2474,0.2474
PenaltyQAOA,cardinality+cardinality,6,2,0.9824664227476484,,0.9824664227476484,0.9824664227476484,0.9824664227476484,0.9022,,0.9022,0.9022,0.9022,0.7245,,0.7245,0.7245,0.7245
PenaltyQAOA,cardinality+cardinality,7,1,0.9475186964748141,,0.9475186964748141,0.9475186964748141,0.9475186964748141,0.9946,,0.9946,0.9946,0.9946,0.0039,,0.0039,0.0039,0.0039
PenaltyQAOA,cardinality+cardinality,7,2,0.9917768541690687,,0.9917768541690687,0.9917768541690687,0.9917768541690687,0.9568,,0.9568,0.9568,0.9568,0.4455,,0.4455,0.4455,0.4455
PenaltyQAOA,cardinality+cardinality,8,1,0.9387704534882506,,0.9387704534882506,0.9387704534882506,0.9387704534882506,0.3457,,0.3457,0.3457,0.3457,0.3457,,0.3457,0.3457,0.3457
PenaltyQAOA,cardinality+cardinality,8,2,0.9900604263390882,,0.9900604263390882,0.9900604263390882,0.9900604263390882,0.8659,,0.8659,0.8659,0.8659,0.8659,,0.8659,0.8659,0.8659
PenaltyQAOA,cardinality+cardinality,8,3,0.991593323977497,,0.991593323977497,0.991593323977497,0.991593323977497,0.8839,,0.8839,0.8839,0.8839,0.1808,,0.1808,0.1808,0.1808
PenaltyQAOA,cardinality+cardinality,8,4,0.9917139350326418,,0.9917139350326418,0.9917139350326418,0.9917139350326418,0.9066,,0.9066,0.9066,0.9066,0.0144,,0.0144,0.0144,0.0144
PenaltyQAOA,cardinality+cardinality,10,1,0.9554442097812993,,0.9554442097812993,0.9554442097812993,0.9554442097812993,0.3817,,0.3817,0.3817,0.3817,0.0204,,0.0204,0.0204,0.0204
