method,constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75,num_gamma_mean,num_gamma_std,num_gamma_median,num_gamma_q25,num_gamma_q75,num_beta_mean,num_beta_std,num_beta_median,num_beta_q25,num_beta_q75
PenaltyQAOA,assignment+cardinality,7,9675987890625.0,0.0,9675987890625.0,9675987890625.0,9675987890625.0,6271.120620369911,2648.67372752011,6271.120620369911,5334.6730434298515,7207.568197309971,90.0,0.0,90.0,90.0,90.0,8.0,0.0,8.0,8.0,8.0
PenaltyQAOA,cardinality+assignment,5,1210000000000.0,,1210000000000.0,1210000000000.0,1210000000000.0,2140.914298057556,,2140.914298057556,2140.914298057556,2140.914298057556,37.0,,37.0,37.0,37.0,5.0,,5.0,5.0,5.0
PenaltyQAOA,cardinality+assignment,6,5127394140625.0,0.0,5127394140625.0,5127394140625.0,5127394140625.0,5169.315391659737,2107.089271510645,5169.315391659737,4424.346835434437,5914.2839478850365,75.0,0.0,75.0,75.0,75.0,8.0,0.0,8.0,8.0,8.0
PenaltyQAOA,cardinality+assignment+knapsack,9,17046576562500.0,0.0,17046576562500.0,17046576562500.0,17046576562500.0,7851.39071448644,3009.9250733830027,7511.125469207764,6268.591648340225,9264.057157993317,108.0,0.0,108.0,108.0,108.0,11.0,0.0,11.0,11.0,11.0
PenaltyQAOA,cardinality+cardinality,5,2801439062500.0,0.0,2801439062500.0,2801439062500.0,2801439062500.0,3991.8318940401077,1149.1091284507597,3991.8318940401077,3585.56046551466,4398.103322565556,45.0,0.0,45.0,45.0,45.0,6.0,0.0,6.0,6.0,6.0
PenaltyQAOA,cardinality+cardinality,6,250000000000.0,0.0,250000000000.0,250000000000.0,250000000000.0,3610.198940515518,757.2182541932857,3610.198940515518,3342.4818593263626,3877.9160217046738,46.0,0.0,46.0,46.0,46.0,6.0,0.0,6.0,6.0,6.0
PenaltyQAOA,cardinality+cardinality,7,7968811035157.0,3113120468249.696,7968811035157.0,6868156738282.0,9069465332032.0,5042.117596626282,243.23111052955883,5042.117596626282,4956.122412800789,5128.112780451775,105.5,23.33452377915607,105.5,97.25,113.75,9.5,2.1213203435596424,9.5,8.75,10.25
PenaltyQAOA,cardinality+cardinality,8,26307064892578.5,11272316339405.318,24862689062500.0,22171436352539.25,28998317602539.25,9352.464996397495,7692.13683543892,8558.837575793266,3513.6730005145073,14397.629571676254,102.25,27.244265451650556,95.0,81.0,116.25,9.25,1.5000000000000002,9.0,8.0,10.25
PenaltyQAOA,cardinality+cardinality,10,28388916015625.0,0.0,28388916015625.0,28388916015625.0,28388916015625.0,7405.414967656136,2117.1241583090637,7405.414967656136,6656.898543179035,8153.931392133236,145.0,0.0,145.0,145.0,145.0,11.0,0.0,11.0,11.0,11.0
PenaltyQAOA,cardinality+flow,6,433128515625.0,0.0,433128515625.0,433128515625.0,433128515625.0,3370.931124806404,969.60364353948,3370.931124806404,3028.124469101429,3713.7377805113792,46.0,0.0,46.0,46.0,46.0,6.0,0.0,6.0,6.0,6.0
PenaltyQAOA,cardinality+flow,7,1181297265625.0,0.0,1181297265625.0,1181297265625.0,1181297265625.0,2914.4100650548935,1566.6140160298035,2914.4100650548935,2360.528367936611,3468.291762173176,61.0,0.0,61.0,61.0,61.0,7.0,0.0,7.0,7.0,7.0
PenaltyQAOA,cardinality+flow,8,26669699023438.0,10556797744436.764,20574729003907.0,20574729003907.0,29717184033203.5,6375.9031289418535,1354.3543450263621,6850.563378572464,5849.335882902145,7139.800499796867,102.66666666666667,14.433756729740647,111.0,98.5,111.0,9.333333333333334,1.1547005383792517,10.0,9.0,10.0
PenaltyQAOA,cardinality+independent_set,6,463250390625.0,,463250390625.0,463250390625.0,463250390625.0,3311.224016904831,,3311.224016904831,3311.224016904831,3311.224016904831,46.0,,46.0,46.0,46.0,6.0,,6.0,6.0,6.0
PenaltyQAOA,cardinality+independent_set,7,7212581640625.0,,7212581640625.0,7212581640625.0,7212581640625.0,3303.929562807083,,3303.929562807083,3303.929562807083,3303.929562807083,69.0,,69.0,69.0,69.0,7.0,,7.0,7.0,7.0
PenaltyQAOA,cardinality+knapsack,4,62207726660157.0,,62207726660157.0,62207726660157.0,62207726660157.0,2330.2050693035126,,2330.2050693035126,2330.2050693035126,2330.2050693035126,53.0,,53.0,53.0,53.0,7.0,,7.0,7.0,7.0
