instance_id,condition,size,depth,loss,sampling_seed,shots,p_feasible,p_optimal,conditional_objective,conditional_quality,weighted_quality,exact_p_feasible,exact_p_optimal,exact_conditional_objective,exact_conditional_quality,exact_weighted_quality,compile_seconds,optimize_seconds
b_5_overlapping_02,maximum,5,4,2815.5572367886343,2935535803,10000,0.406,0.0306,0.9970443349753694,0.5457232422749665,0.2215636363636364,0.40653834794141797,0.031400699717304525,1.0313920601351128,0.5426007218058988,0.220588001034791,0.14370848005637527,51.976537744514644
b_5_overlapping_02,maximum,5,5,2588.3774470845588,2040246745,10000,0.40579999999999994,0.0312,0.9987678659438147,0.5455665576414714,0.22139090909090908,0.40285429557137,0.03242423333472957,1.0053451057648812,0.5449686267486471,0.2195429522373231,0.1752216280438006,65.04362810356542
b_5_overlapping_02,range,5,1,17485.39216035372,1073701512,10000,0.41,0.0344,0.9300000000000002,0.5518181818181819,0.22624545454545456,0.4064664077111165,0.03113966292584794,1.0076354756514807,0.5447604113044109,0.2214268074461342,6.775118947960436,13.098765288945287
b_5_overlapping_02,range,5,2,17925.386275606077,2910575036,10000,0.4077,0.0275,1.1177336276674024,0.5347514883938725,0.21801818181818183,0.40984547223052736,0.02708709874401549,1.0611755481942173,0.5398931319823439,0.22127275563132218,11.67259726068005,27.622209891676903
b_5_overlapping_02,range,5,3,16315.890536148498,3361478981,10000,0.4003,0.0316,0.9610292280789408,0.5489973429019145,0.21976363636363636,0.4053824418582849,0.032035607415232766,0.9700400635599331,0.5481781760400061,0.22222180757651844,18.229275656864047,39.34009835217148
b_5_overlapping_02,range,5,4,17206.73196977396,2339304673,10000,0.4045,0.0312,1.014585908529048,0.5441285537700865,0.22010000000000002,0.40719550145098804,0.02843456108435348,1.075471685278305,0.5385934831565177,0.2193128434521525,26.26348219672218,52.187530940398574
b_5_overlapping_02,range,5,5,17750.49036140011,315822186,10000,0.3913,0.0302,1.0140557117301305,0.544176753479079,0.21293636363636362,0.3982805071116962,0.03223224723516572,0.9734614313635728,0.5478671426033116,0.21820480338588294,36.080002344213426,64.4958189507015
b_5_overlapping_02,verma_lewis,5,1,6277.548218911098,2720060045,10000,0.40130000000000005,0.0262,1.0097184151507599,0.5445710531681128,0.2185363636363637,0.4002189428173357,0.028905788391422157,0.9497834252923653,0.550019688609785,0.22012829830412833,0.03708030330017209,13.053959901910275
b_5_overlapping_02,verma_lewis,5,2,6439.911499535534,2360909044,10000,0.404,0.0342,0.9247524752475247,0.5522952295229523,0.22312727272727273,0.4092621793600391,0.034135309809397885,0.9565008450834451,0.5494090140833232,0.22485233046379127,0.07428613677620888,27.44377172878012
b_5_overlapping_02,verma_lewis,5,3,6468.307872113267,1236502148,10000,0.41159999999999997,0.0322,1.014334305150632,0.544151426804488,0.22397272727272724,0.40898060805834174,0.034116569802778225,0.9957156935156862,0.5458440278622103,0.2232396224201012,0.10625678999349475,39.18366719223559
b_5_overlapping_02,verma_lewis,5,4,6479.831645390693,2892000587,10000,0.4095999999999999,0.0279,1.087890625,0.5374644886363636,0.2201454545454545,0.4048124921858044,0.031616460500396286,1.02611565380304,0.5430803951088146,0.21984572820125056,0.1426391671411693,52.01570161804557
b_5_overlapping_02,verma_lewis,5,5,6616.624951099195,1233345657,10000,0.4074,0.0282,1.0810014727540502,0.5380907752041773,0.2192181818181818,0.40301001219758587,0.028714480267898905,1.0653036993465115,0.5395178455139535,0.21743109350139367,0.1765017630532384,64.63580172602087
b_6_disjoint_01,feasible,6,1,34.33137243569619,815842514,10000,0.45559999999999995,0.0017,8.70171202809482,0.24224184507327617,0.11036538461538462,0.45514027737156953,0.0019884821778218447,8.687313766167376,0.24279562437817784,0.11050606782408727,0.0006483113393187523,0.13429808104410768
b_6_disjoint_01,feasible,6,2,19.077071796286447,3828220673,10000,0.6988000000000001,0.0123,6.600601030337724,0.3230538065254721,0.22574999999999995,0.7056566393923772,0.011519616781376633,6.625678941629837,0.32208927147577554,0.22728443289393482,0.0007361592724919319,0.23122902866452932
b_6_disjoint_01,feasible,6,3,17.195483973399575,1811052932,10000,0.7428,0.0151,6.31515885837372,0.33403235160101075,0.2481192307692308,0.7477823843638282,0.016394321125255087,6.242101516861902,0.33684224935146534,0.2518847003745139,0.0011761668138206005,0.32268473505973816
b_6_disjoint_01,feasible,6,4,9.846581596628297,585884947,10000,0.8231999999999999,0.0948,1.7082118561710393,0.5112226209164985,0.42083846153846155,0.817179495948188,0.09528461376449494,1.815263894718488,0.5071052348185197,0.4143960001816854,0.0014510410837829113,0.4232977805659175
b_6_disjoint_01,feasible,6,5,5.98457178482463,2401358209,10000,0.8417999999999999,0.2081,-1.420171062009979,0.6315450408465376,0.5316346153846153,0.8390637764846058,0.20427261017209036,-1.377665049831054,0.6299101942242713,0.5285348264119686,0.0017007458955049515,0.525120944250375
b_6_disjoint_01,local,6,1,13.715154395741589,2503608515,10000,0.4206,0.1807,-4.363290537327627,0.7447419437433703,0.3132384615384615,0.4186321340914905,0.1759906292281071,-4.2576878814959604,0.7406803031344601,0.31007257598071114,0.0006515737622976303,0.13506564730778337
b_6_disjoint_01,local,6,2,8.2079882484065,1574870749,10000,0.6652,0.1987,-2.5272098616957304,0.6741234562190666,0.44842692307692306,0.668990121042861,0.199764082377773,-2.5133144543434263,0.6735890174747472,0.450624398333573,0.0008736499585211277,0.2310004336759448
b_6_disjoint_01,local,6,3,7.0801700405787535,1056006843,10000,0.7077,0.214,-2.4052564646036454,0.669432940946294,0.47375769230769227,0.7021073535619904,0.2104817329770131,-2.337911911800614,0.6668427658384851,0.46819520956481686,0.0011845468543469906,0.3248854670673609
