identity,instance_id,condition,rule,delta,selectable,n_x,regime,n_slack,n_total,depth,p_optimal,p_feasible,exact_p_optimal,exact_p_feasible,compile_seconds,optimize_seconds,process_peak_rss_mb
dc6962123705302ed802604a0e26c984e2bf627a31aa9f4bef1ea5469cca094d,b_6_disjoint_02,local,local,18.0,True,6,disjoint,3,9,5,0.0067,0.7535000000000001,0.007344413531094999,0.7533308559500436,0.01698247529566288,5.974484426900744,1464.65625
ed33f7584a823e0b393b50ce0744d5381a58b57ec8e98a77d4cb06d3bced933e,b_6_disjoint_02,maximum,maximum,6.0,True,6,disjoint,3,9,5,0.012,0.7329,0.014831984752843978,0.7360886148274399,0.01732356660068035,5.887086180970073,1464.65625
2e352b31a85d80b17318b50f9b428dc808c860f40c3e2b9c3c6c64c9dce773b4,b_6_disjoint_02,range,range,52.0,True,6,disjoint,3,9,5,0.0241,0.8102,0.02405697299347993,0.820236286656991,32.51871101651341,5.603129011578858,1464.4375
a81d8c8bc862e1be68dcff69371bf0b32ba720d62b31d865e35a1d8377fed7af,b_6_disjoint_02,verma_lewis,verma_lewis,17.0,True,6,disjoint,3,9,5,0.0143,0.6426999999999999,0.012075673449273856,0.6466285863312469,0.01734512159600854,5.928244967479259,1464.65625
35c14fd1589d6ddeee05c4b69a517a7d0d76e7f96a4dc5df5b804ada5d9ebf0e,b_6_overlapping_01,feasible,feasible,24.0,True,6,overlapping,8,14,5,0.0166,0.1638,0.01708704922456616,0.16355999719562728,0.5103085674345493,184.7305587520823,2845.5078125
cb8f03f64f4f5256e7813412000f28bf718855abdf8de7fb7e02448040b620bd,b_6_overlapping_01,local,local,21.0,True,6,overlapping,8,14,5,0.0228,0.179,0.02243800386837309,0.17341799253333168,0.533857841975987,193.3407553867437,2846.2109375
0d80090b3d07bb4a9a8228a69248ca8df8cf7691f656f3e2992a0f0c2ed5f631,b_6_overlapping_01,maximum,maximum,6.0,True,6,overlapping,8,14,5,0.0131,0.14450000000000002,0.013294382490038269,0.14861606814807332,0.5350093683227897,193.25721035338938,2846.2109375
3d94a80d8e42b646d30bc4295f2cfeebccf55264970c6409a5c70a6f4c4d7e71,b_6_overlapping_01,range,range,59.0,True,6,overlapping,8,14,5,0.0108,0.1543,0.012933905123862147,0.15723623588857544,89.48895697202533,185.30938977980986,2727.7890625
2f7473313f76502c8329941a318c44a0d85e0c9854f031b9e3e6aba2c41999b2,b_6_overlapping_01,verma_lewis,verma_lewis,19.0,True,6,overlapping,8,14,5,0.0127,0.14289999999999997,0.011507577552150625,0.14283530700083621,0.5193324871361256,188.35417517647147,2846.2109375
cfba8e05bfe812d9f0df10fc91c59490620e5dc9c9d0b39caa835b33a641b789,b_6_overlapping_02,feasible,feasible,25.0,True,6,overlapping,2,8,5,0.1571,0.7084999999999999,0.1546845058345935,0.7119224468980243,0.010648067574948072,3.125049638096243,1220.34375
1ebccff0ab60afe5ddfcc7160b8fabe64f4d380777fb271054c7b57527200ad5,b_6_overlapping_02,local,local,19.0,True,6,overlapping,2,8,5,0.0414,0.6194,0.04384367304643894,0.616929323179491,0.010048325173556805,3.079515030607581,1221.0
397343b9095c679885e743890e1fc43f771ea39395ac252ee53a6388fef3138e,b_6_overlapping_02,maximum,maximum,6.0,True,6,overlapping,2,8,5,0.0597,0.5926,0.06286235947556466,0.5895222508505888,0.009630853310227394,2.9958057426847517,1221.0
